run,arch,condition,k,fold,seed,n_synthetic,best_step,val_dice,dedup,test_dice,test_iou,test_precision,test_recall,test_pooled_dice,cell
attention_random250_f4_s456,attention,random,250,4,456,250,900,0.7803090689703822,False,0.8332574814558029,0.7224752753973007,0.8134656339883805,0.8655815064907074,0.8540647021018486,random250
attention_real_f0_s123,attention,real,0,0,123,0,1100,0.6934390924870968,False,0.7912586987018585,0.6822807373479008,0.7769100561738014,0.855571211874485,0.8303419767004886,real
attention_real_f0_s42,attention,real,0,0,42,0,1100,0.7097800341434777,False,0.8112195529043674,0.7076318059116602,0.7964200630784035,0.8649692833423615,0.8531504286355434,real
attention_real_f0_s456,attention,real,0,0,456,0,1000,0.7053090361878276,False,0.7995381793938577,0.6985857475781814,0.8018886640435084,0.8082186304032802,0.8485439066371305,real
attention_real_f1_s123,attention,real,0,1,123,0,1100,0.83151014149189,False,0.8237587854266166,0.7152903094887734,0.814280541241169,0.8597611993551254,0.8558699859203631,real
attention_real_f1_s42,attention,real,0,1,42,0,900,0.8319871500134468,False,0.8257880300283432,0.7162509009242057,0.8273461565375329,0.8397866457700729,0.8553063037321686,real
attention_real_f1_s456,attention,real,0,1,456,0,1000,0.8252103887498379,False,0.8016629800200462,0.6929835826158524,0.774660774320364,0.8475472614169121,0.8440020613013085,real
attention_real_f2_s123,attention,real,0,2,123,0,1000,0.841122156009078,False,0.8313325278460979,0.7323194146156311,0.8224129602313042,0.8504746615886688,0.8691786718267905,real
attention_real_f2_s42,attention,real,0,2,42,0,1200,0.8363752011209726,False,0.7988994929939508,0.6932624166831374,0.7882711760699749,0.8338684305548668,0.8454613710307378,real
attention_real_f2_s456,attention,real,0,2,456,0,1200,0.8156391698867083,False,0.7878179356455803,0.6662540569901466,0.7788391523063183,0.8311266034841538,0.820913997508957,real
attention_real_f3_s123,attention,real,0,3,123,0,1100,0.7588173151016235,False,0.7969001978635788,0.6787197187542915,0.7862030431628227,0.8277121752500534,0.8309024734684818,real
attention_real_f3_s42,attention,real,0,3,42,0,1200,0.7991320677101612,False,0.8188856393098831,0.7081679031252861,0.8133195631206036,0.860423281788826,0.8480757105091138,real
attention_real_f3_s456,attention,real,0,3,456,0,1100,0.8247943185269833,False,0.8132708005607128,0.7111505158245564,0.8272431075572968,0.8366467460989953,0.8576942175314244,real
attention_real_f4_s123,attention,real,0,4,123,0,1100,0.7540436740964651,False,0.8123348645865918,0.7045255474746227,0.7995706908404827,0.8487923234701157,0.8522522591135668,real
attention_real_f4_s42,attention,real,0,4,42,0,1100,0.7353062173487752,False,0.7902724802494049,0.6774314511567354,0.7833335135132075,0.838422417640686,0.8286486197711956,real
attention_real_f4_s456,attention,real,0,4,456,0,1200,0.7284217770211399,False,0.7872051905142143,0.6787524191313423,0.7665224191965535,0.8196376863867044,0.8265308219242057,real
attention_uall_f0_s42,attention,all,106,0,42,106,1100,0.7747839204967022,True,0.8354052826762199,0.7375194124877453,0.8296884704381228,0.878335052728653,0.8705265395790518,uall
